X,City,Year,CO,Humidity,NO2,O3,PM10,PM25,SO2,Temperature,lat,lng,IPM25,IPM10,INO2,IO3,IQA,Country
1,Abidjan,2020,NA,86.888698630137,NA,NA,NA,67.4139194139194,NA,26.6695205479452,5.36,-4.0083,13.4827838827839,NA,NA,NA,13.4827838827839,Ivory Coast
2,Abidjan,2021,NA,87.1339779005525,NA,NA,NA,86.0564971751413,NA,27.2878453038674,5.36,-4.0083,17.2112994350283,NA,NA,NA,17.2112994350283,Ivory Coast
3,Abidjan,2022,NA,90.043853820598,NA,NA,NA,54.3242320819113,NA,26.5019933554817,5.36,-4.0083,10.8648464163823,NA,NA,NA,10.8648464163823,Ivory Coast
4,Abidjan,2023,NA,90.4870801033592,NA,NA,NA,57.769436997319,NA,27.149354005168,5.36,-4.0083,11.5538873994638,NA,NA,NA,11.5538873994638,Ivory Coast
5,Abu Dhabi,2019,0.0999999999999999,54.9679347826087,13.085,18.4459854014599,79.7114427860697,111.425,4.98000000000002,28.633152173913,24.4539,54.3773,22.285,5.31409618573798,1.3085,0.307433090024331,23.9009330900243,United Arab Emirates
6,Abu Dhabi,2020,0.100000000000001,55.8700265251989,10.7179292929293,25.2323232323233,78.479797979798,72.6136363636364,4.96767676767674,28.8978779840849,24.4539,54.3773,14.5227272727273,5.23198653198653,1.07179292929293,0.420538720538721,16.0150589225589,United Arab Emirates
7,Abu Dhabi,2021,0.100000000000001,57.3492227979275,11.1067708333333,25.3238961038961,77.1041666666667,82.6131147540984,5.08437499999997,29.0471502590674,24.4539,54.3773,16.5226229508197,5.14027777777778,1.11067708333333,0.422064935064935,18.0553649692179,United Arab Emirates
8,Abu Dhabi,2022,0.100000000000001,58.7860465116279,10.5344481605351,31.1060200668896,99.6677852348993,116.773076923077,4.86053511705686,30.3063122923588,24.4539,54.3773,23.3546153846154,6.64451901565995,1.05344481605351,0.518433667781494,24.9264938684504,United Arab Emirates
9,Abu Dhabi,2023,0.1,55.9024221453287,10.9079861111111,29.7501730103806,81.3923611111111,101.003802281369,6.18159722222222,28.5958477508651,24.4539,54.3773,20.2007604562738,5.42615740740741,1.09079861111111,0.495836216839677,21.7873952842246,United Arab Emirates
10,Accra,2020,NA,84.9167213114754,NA,NA,NA,65.3696369636964,NA,26.6190163934426,5.6037,-0.1869,13.0739273927393,NA,NA,NA,13.0739273927393,Ghana
11,Accra,2021,NA,81.9656084656085,NA,NA,NA,77.7855153203343,NA,27.3862433862434,5.6037,-0.1869,15.5571030640669,NA,NA,NA,15.5571030640669,Ghana
12,Accra,2022,NA,83.0781569965871,NA,NA,NA,62.0147601476015,NA,26.4283276450512,5.6037,-0.1869,12.4029520295203,NA,NA,NA,12.4029520295203,Ghana
13,Accra,2023,NA,78.0142857142857,NA,NA,NA,109.202702702703,NA,28.2047619047619,5.6037,-0.1869,21.8405405405405,NA,NA,NA,21.8405405405405,Ghana
14,Addis Ababa,2019,NA,60.0858657243816,NA,NA,NA,60.9205776173285,NA,16.6844522968198,9.0302,38.7578,12.1841155234657,NA,NA,NA,12.1841155234657,Ethiopia
15,Addis Ababa,2020,NA,64.3959893048128,NA,NA,NA,69.1837270341207,NA,16.4991978609626,9.0302,38.7578,13.8367454068241,NA,NA,NA,13.8367454068241,Ethiopia
16,Addis Ababa,2021,NA,59.5924342105263,NA,NA,NA,71.8422459893048,NA,16.6213815789474,9.0302,38.7578,14.368449197861,NA,NA,NA,14.368449197861,Ethiopia
17,Addis Ababa,2022,NA,64.5179577464789,NA,NA,NA,82.0456140350877,NA,16.9485915492958,9.0302,38.7578,16.4091228070175,NA,NA,NA,16.4091228070175,Ethiopia
18,Addis Ababa,2023,NA,68.9743295019157,NA,NA,NA,79.8493723849372,NA,16.6088122605364,9.0302,38.7578,15.9698744769874,NA,NA,NA,15.9698744769874,Ethiopia
19,Algiers,2019,NA,71.1195219123506,NA,NA,NA,68.2175732217573,NA,20.5776892430279,36.7538,3.0588,13.6435146443515,NA,NA,NA,13.6435146443515,Algeria
20,Algiers,2020,NA,73.4642076502732,NA,NA,NA,65.7108108108108,NA,18.3049180327869,36.7538,3.0588,13.1421621621622,NA,NA,NA,13.1421621621622,Algeria
21,Algiers,2021,NA,70.8426380368098,NA,NA,NA,66.3278145695364,NA,19.6039877300614,36.7538,3.0588,13.2655629139073,NA,NA,NA,13.2655629139073,Algeria
22,Algiers,2022,NA,68.6540669856459,NA,NA,NA,60,NA,20.7306220095694,36.7538,3.0588,12,NA,NA,NA,12,Algeria
23,Algiers,2023,NA,72.1232432432432,NA,NA,NA,50.4540229885058,NA,15.7216216216216,36.7538,3.0588,10.0908045977012,NA,NA,NA,10.0908045977012,Algeria
24,Bamako,2019,NA,20.7307692307692,NA,NA,NA,146.470588235294,NA,24.3076923076923,12.6392,-7.9922,29.2941176470588,NA,NA,NA,29.2941176470588,Mali
25,Bamako,2020,NA,49.86,NA,NA,NA,116.036842105263,NA,27.4533333333333,12.6392,-7.9922,23.2073684210526,NA,NA,NA,23.2073684210526,Mali
26,Bamako,2021,NA,31.1814159292035,NA,NA,NA,145.637305699482,NA,28.4955752212389,12.6392,-7.9922,29.1274611398964,NA,NA,NA,29.1274611398964,Mali
27,Bamako,2022,NA,53.0267175572519,NA,NA,NA,117.114285714286,NA,25.5190839694656,12.6392,-7.9922,23.4228571428571,NA,NA,NA,23.4228571428571,Mali
28,Bamako,2023,NA,29.358064516129,NA,NA,NA,135.716129032258,NA,28.5387096774194,12.6392,-7.9922,27.1432258064516,NA,NA,NA,27.1432258064516,Mali
29,Beijing,2019,6.7024064171123,49.8202702702702,18.0639037433155,23.7786096256685,55.3850267379679,101.248663101604,2.40481283422461,13.5751351351351,39.9042,116.4074,20.2497326203209,3.69233511586453,1.80639037433155,0.396310160427808,22.4524331550802,China
30,Beijing,2020,5.99040404040404,52.4591029023747,14.4146464646465,23.7633838383838,49.2954545454545,93.3383838383838,1.94722222222224,13.2018469656992,39.9042,116.4074,18.6676767676768,3.28636363636364,1.44146464646465,0.396056397306397,20.5051978114478,China
31,Beijing,2021,5.77532133676092,56.0414364640884,13.3419023136247,23.506940874036,50.9922279792746,83.8611825192802,1.5190231362468,13.1146408839779,39.9042,116.4074,16.772236503856,3.39948186528497,1.33419023136247,0.3917823479006,18.4982090831191,China
32,Beijing,2022,4.74053156146179,56.9784053156146,11.0564784053156,29.528903654485,45.3820598006645,75.671096345515,1.41727574750831,15.8887043189369,39.9042,116.4074,15.134219269103,3.02547065337763,1.10564784053156,0.492148394241417,16.732015503876,China
